Year,DOY,Blue,Green,Red,NIR,SWIR1,SWIR2,ClearFlag
2017,216,471,631,451,4155,1924,937,0
2017,223,546,864,776,4019,2142,1245,0
2017,232,1169,1356,1249,4117,2436,1514,0
2017,239,7085,6661,6692,7715,5544,4126,0
2017,248,4118,3785,3759,5798,3938,3239,0
2017,255,601,923,911,3139,2144,1407,0
2017,264,596,909,850,3117,2053,1327,0
2017,271,694,1034,1112,3129,2446,1652,1
2017,280,9920,9476,9541,9423,6051,4677,0
2017,287,6918,6400,6360,6318,2181,2433,0
2017,296,763,1097,1192,2486,2195,1770,0
2017,303,785,1093,1247,2372,2463,1978,1
2017,312,823,1195,1280,2599,2485,1902,0
2017,319,795,1144,1292,2600,2426,1908,1
2017,328,823,1127,1290,2677,2513,1955,1
2017,335,759,1174,1273,2524,2335,1818,0
2017,344,828,1134,1310,2656,2472,1959,1
2017,351,745,996,1135,2380,2348,1896,1
2017,360,850,1239,1435,2458,2245,1849,0
2018,2,5098,5735,6181,6989,5572,4720,0
2018,11,879,1198,1400,2475,2544,2158,1
2018,18,3345,3752,4077,5021,2446,2273,0
2018,27,7342,7020,7070,6866,4535,4576,0
2018,34,886,1246,1472,2242,2457,2079,0
2018,43,958,1285,1564,2431,2729,2325,1
2018,50,2253,2706,2905,3834,2324,2116,0
2018,59,1168,1428,1464,2207,1335,808,0
2018,66,4140,4098,4135,4615,1936,2044,0
2018,75,912,1211,1459,2537,2553,2163,1
2018,82,464,819,820,1975,1489,1184,0
2018,91,761,1165,1174,3065,2234,1731,0
2018,98,809,1110,1268,2670,2345,1932,1
2018,107,787,1066,1224,2940,2241,1788,0
2018,114,649,926,1003,2571,1954,1512,1
2018,123,799,1094,1302,3003,2344,1840,1
2018,130,726,1050,1135,3236,2255,1742,0
2018,139,8121,7643,7735,7943,5389,4352,0
2018,146,556,923,853,2911,1692,1252,0
2018,155,713,964,1058,2432,1763,1406,0
2018,162,699,924,1023,2489,2212,1602,1
2018,171,910,1177,1365,3188,2768,2119,0
2018,178,642,1025,1004,3177,2242,1502,0
2018,187,989,1156,1115,3339,2032,1419,0
2018,194,6893,6744,6804,7543,5236,3495,0
2018,203,625,809,697,3851,2209,1311,1
2018,210,4344,3947,3908,5392,3036,2045,0
2018,219,597,932,841,3706,2221,1317,0
2018,226,7701,7218,7214,7850,5296,3695,0
2018,235,489,720,600,3644,1876,1005,0
2018,242,9957,9665,9541,8830,1566,2019,0
2018,251,549,809,685,3741,2112,1275,1
2018,258,0,0,0,0,5783,4096,0
2018,267,515,759,733,3166,2036,1310,1
2018,274,739,1111,1245,2812,2621,2004,1
2018,283,845,1136,1314,2665,2499,2044,1
2018,290,799,1163,1254,2825,2457,1951,1
2018,299,836,1171,1320,2817,2497,2090,1
2018,315,5411,5453,5575,5823,4855,4421,0
2018,322,5111,5045,5032,5696,2220,2436,0
2018,331,7999,8097,8286,8063,2040,2605,0
2018,338,843,1315,1435,2838,2245,1797,0
2018,347,851,1190,1287,2797,2378,2008,0
2018,354,1621,2228,2485,3875,3153,2495,0
2018,363,834,1121,1310,2669,2458,2076,1
2019,5,830,1167,1340,2567,2437,2093,0
2019,14,6320,5952,6230,5990,5016,4523,0
2019,21,850,1185,1382,2478,2400,2037,0
2019,30,7587,7313,7360,7048,3685,3930,0
2019,37,8065,8266,8440,8287,2601,3207,0
2019,46,4172,4152,4305,4797,817,645,0
2019,53,700,969,1114,2185,2046,1801,0
2019,62,818,1155,1303,2677,2320,1992,0
2019,69,863,1217,1309,2493,2339,1997,0
2019,78,822,1111,1278,2619,2320,1937,0
2019,85,945,1303,1528,2872,2319,2057,0
2019,94,689,977,999,3129,1966,1601,0
2019,101,5859,5851,6184,7529,6217,5371,0
2019,110,712,928,1056,3036,2223,1685,0
